title,description,keywords,domain,agency,bureau
,,,standards.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,This site is intended for students in grades K through 8.,"StarChild, nasa, education, active galactic nuclei, astronomy, binary stars, black holes, cataclysmic variables, comets, cosmic rays, cosmos, dark matter, diffuse background, earth, galaxies, gamma-ray bursts, gravitational waves, neutron stars, pulsars, quasars, space, stars, sun, supernova, supernova remnants, universe, white dwarfs",starchild.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,status.earthdata.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,sted.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
Home,"NASA STEM Gateway is your gateway to explore STEM experiences designed to INSPIRE – ENGAGE – EDUCATE- EMPLOY the next generation of explores. On this site, you’ll find current available opportunities in the areas of internships, challenges, research, educator professional development, and Pre-college and College STEM experiences. Find the experience that’s right for you.",,stemgateway.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,stereoftp.nascom.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,STEREO Home Page,,stereo.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
NASA STI Compliance and Distribution Services - STI Compliance and Distribution Services,A flexible SEO friendly theme for Hugo,,sti.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,st.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
Space Technology Mission Directorate (STMD),,,www.stmd.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,STORM Homepage,,storm.pps.eosdis.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"Solar Terrestrial Probes is a blend of in-situ and remote sensing observations, from mulitple platforms, addressing focused science objectives as a part of the SEC theme.","solar, terrestrial, probes, sun, earth, connection, TIMED, STEREO, SOLAR-B, MMS, GEC, MC, magnetosphere, magnetospheric, multiscale, geospace, electrodynamic, constellation, small satellites, small satellite, nano sat, nanosat, nano-sat, nano-satellite",stp.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Meeting future space communications and navigation system needs by defining an open architecture for NASA space and ground software-defined radios (SDRs).,,strs.grc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,survey.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,svcp.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"The NASA Scientific Visualization Studio works closely with scientists in the creation of visualizations, animations, and images in order to promote a greater understanding of Earth and Space Science research activities at NASA and within the academic research community supported by NASA.","NASA, SVS, Scientific Visualization Studio, Scientific Visualization,",svs.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,swehb.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,sw-eng.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,The Neil Gehrels Swift Observatory,"swift, grb, swift homepage, swift website, swift web site, science support center, ssc, swift ssc, gssc, gamma-ray, gamma, space, telescope, nasa, NASA, bursts, bat, xrt, uvot",swift.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"SWOT: NASA's first global survey of Earth's surface water, providing data for clean air and water, extreme events, and long-term environmental changes","nasa, swot, surface water, ocean topography, flight systems, ground systems, airswot, oceanography, hydrology, science team, centre national d'etudes spatiales, cnes",swot.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Default Index Page,,tads1.gesdisc.eosdis.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,tdglobal.ksc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,technology.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,technology.ssc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Home for the Terra Satellite Earth Observing System,"TERRA, satellite, ASTER, CERES, MISR, MODIS, MOPITT, EOS, NASA GSFC, Earth Sciences Division",terra.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Homepage for NASA's TRopospheric Ozone and its Precursors from Earth System Sounding (TROPESS) Project and the Tropospheric Emission Spectrometer (TES) Mission,,tes.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,tetruss.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,tfa.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,We are pleased to inform you that the NASA Thermal and Fluids Analysis Workshop (TFAWS) 2025 has been approved. We are currently accepting abstract,,tfaws.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,"To reduce harm to astronauts, NASA's Space Radiation Program investigates possible effects of space radiation:  cancer, central nervous system damage, degenerative tissue risks, and acute radiation syndrome.","NASA, space radiation, NASA Space Radiation Laboratory, astronauts, ionizing radiation, radiation carcinogenesis, radiation risk, radiation shielding, radiation tracks, galactic cosmic rays, solar particle effects, relative biological effectiveness (RBE), microbeams, dosimetry, biological dosimetry, detectors, radiation chemistry, linear energy transfer, radiation carcinogenesis, DNA damage and repair, high LET radiation, radioprotectors, radiation therapy, NASA Cancer Risk Models, particle accelerator facilities, permissible exposure levels (PEL), As Low as Reasonably Achievable (ALARA).",three.jsc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,thunder.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,NASA Langley Patrick Minnis GOES Satellites imagery and cloud product,tisa.satcorps.smce.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,tmf.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,toastmasters.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,tontos.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,tours.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,towerfts.csbf.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
NASA Town Hall VPN Check,,,townhall.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,tpsx.arc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,trajbrowser.arc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,transitionmodeling.larc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,Telescience Resource Kit home page,,trek.msfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,,trek.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,,"PMM Satellite Validation, NASA Goddard Space Flight Center",trmm-fc.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
,This website has been superseded by gpm.nasa.gov as of Dec. 2018 and is being kept online for archival purposesWelcome to NASA's Tropical Rainfall Measuring Mission where you can see global precipitation and flood alerts as they happen. TRMM is a joint mission between NASA and the Japan Aerospace Exploration Agency (JAXA)  designed to monitor and study tropical rainfall and the associated release of energy that helps to power the global atmospheric circulationshaping both weather and climate around the globe.,"Near Realtime hurricane or typhoon or tropical cyclone  Precipitation Radar cross section animations, TRMM global precipitation, realtime and climatological  30 day anomalous precipitation, Near Realtime TRMM Precipitation Radar  images and animations, realtime and climatalogical 30 day average rain, realtime 3 hourly average rain, potential floods, extreme precipitation events, quicklook global trmm images, TRMM mission overview, questions and answers about TRMM, images and movies, TRMMpublications listings, TRMM educational resources",trmm.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer
